Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['1808', 'S', 'Bumby', 'Avenue', 'Orlando', 'FL', '32806']",3 beds,2 baths,"1,246 sq. ft",Residental,"$450,000"
"['8429', 'Leeland', 'Archer', 'Blvd', 'Orlando', 'FL', '32836']",4 beds,3 baths,"1,512 sq. ft",Residental,"$425,000"
"['11726', 'Cuxham', 'Drive', 'Orlando', 'FL', '32837']",4 beds,3 baths,"1,684 sq. ft",Residental,"$419,900"
"['1812', 'Crownwood', 'Drive', 'Orlando', 'FL', '32810']",3 beds,2 baths,"1,509 sq. ft",Residental,"$384,999"
"['14060', 'Wild', 'Majestic', 'Street', 'Orlando', 'FL', '32828']",3 beds,2 baths,"1,507 sq. ft",Residental,"$369,000"
"['12241', 'John', 'Wycliffe', 'Boulevard', 'Orlando', 'FL', '32832']",2 beds,2 baths,"1,324 sq. ft",Residental,"$330,000"
"['10505', 'Woodway', 'Drive', 'Orlando', 'FL', '32837']",4 beds,2 baths,"1,683 sq. ft",Residental,"$300,000"
"['9823', 'Dean', 'Acre', 'Drive', 'Orlando', 'FL', '32825']",2 beds,2 baths,"1,030 sq. ft",Residental,"$275,000"
"['2246', 'Coach', 'House', 'Boulevard', '505', 'Orlando', 'FL', '32812']",3 beds,2 baths,"1,505 sq. ft",Residental,"$275,000"
"['2873', 'S', 'Osceola', 'Avenue', '8', 'Orlando', 'FL', '32806']",1 bed,1 bath,632 sq. ft,Residental,"$159,900"
"['14419', 'Augusta', 'Rd.', '211', 'Orlando', 'FL', '32826']",2 beds,2 baths,NaN,Residental,"$59,900"
"['3908', 'Hollow', 'Crossing', 'Drive', 'Orlando', 'FL', '32817']",4 beds,3 baths,"2,368 sq. ft",Residental,"$489,000"
"['3428', 'Soho', 'Street', 'Unit', '306', 'Orlando', 'FL', '32835']",2 beds,2 baths,"1,107 sq. ft",Residental,"$209,900"
"['8635', 'Farthington', 'Way', 'Orlando', 'FL', '32827']",4 beds,4 baths,"3,808 sq. ft",Residental,"$2,450,000"
"['7826', 'Thicket', 'Lane', 'Orlando', 'FL', '32819']",4 beds,3 baths,"2,505 sq. ft",Residental,"$650,000"
"['4955', 'Southfork', 'Ranch', 'Drive', 'Orlando', 'FL', '32812']",4 beds,3 baths,"2,722 sq. ft",Residental,"$599,000"
"['291', 'Isle', 'Of', 'Sky', 'Circle', 'Orlando', 'FL', '32828']",3 beds,2 baths,"2,088 sq. ft",Residental,"$570,000"
"['3748', 'Ocita', 'Drive', 'Orlando', 'FL', '32837']",3 beds,2 baths,"2,013 sq. ft",Residental,"$535,000"
"['11820', 'Ginsberg', 'Place', 'Orlando', 'FL', '32832']",3 beds,2 baths,"2,203 sq. ft",Residental,"$510,000"
"['11391', 'Whistling', 'Pine', 'Way', 'Orlando', 'FL', '32832']",4 beds,3 baths,"2,040 sq. ft",Residental,"$468,000"
"['Tunbridge', 'Street', 'Orlando', 'FL', '32833']",NaN,NaN,NaN,Residental,"$165,000"
"['2055', 'Scranton', 'Ave', '337', 'Orlando', 'FL', '32826']",3 beds,2 baths,NaN,Residental,"$87,900"
"['8324', 'Diamond', 'Cove', 'Circle', 'Orlando', 'FL', '32836']",3 beds,2 baths,"2,192 sq. ft",Residental,"$639,000"
"['7804', 'Hoosier', 'Place', 'Orlando', 'FL', '32807']",3 beds,1 bath,991 sq. ft,Residental,"$279,900"
"['4201', 'E', 'Michigan', 'Street', 'Orlando', 'FL', '32812']",1 bed,1 bath,548 sq. ft,Residental,"$149,900"
"['5826', 'Woodbine', 'Drive', 'Orlando', 'FL', '32809']",3 beds,2 baths,NaN,Residental,"$505,000"
"['10612', 'Gawsworth', 'Point', 'Orlando', 'FL', '32832']",4 beds,3 baths,"2,267 sq. ft",Residental,"$750,000"
"['5429', 'Split', 'Pine', 'Court', 'Orlando', 'FL', '32819']",4 beds,2 baths,"2,259 sq. ft",Residental,"$730,000"
"['14197', 'Deljean', 'Circle', 'Orlando', 'FL', '32828']",4 beds,3 baths,"2,740 sq. ft",Residental,"$659,000"
"['14728', 'Henson', 'Road', 'Orlando', 'FL', '32832']",6 beds,3 baths,"4,005 sq. ft",Residental,"$625,000"
"['623', 'Lakescape', 'Court', 'Orlando', 'FL', '32828']",4 beds,3 baths,"2,592 sq. ft",Residental,"$575,000"
"['14436', 'Mailer', 'Boulevard', 'Orlando', 'FL', '32828']",3 beds,2 baths,"2,247 sq. ft",Residental,"$550,000"
"['707', 'Mayfair', 'Circle', 'Orlando', 'FL', '32803']",4 beds,3 baths,"2,559 sq. ft",Residental,"$549,900"
"['9533', 'Mere', 'Parkway', 'Orlando', 'FL', '32832']",3 beds,2 baths,"1,708 sq. ft",Residental,"$540,000"
"['3916', 'Finch', 'Street', 'Orlando', 'FL', '32803']",3 beds,2 baths,"1,660 sq. ft",Residental,"$515,000"
"['919', 'Gran', 'Paseo', 'Drive', 'Orlando', 'FL', '32825']",4 beds,3 baths,"3,139 sq. ft",Residental,"$500,000"
"['3680', 'Lower', 'Union', 'Road', 'Orlando', 'FL', '32814']",2 beds,2 baths,"1,916 sq. ft",Residental,"$460,000"
"['7739', 'Windbreak', 'Road', 'Orlando', 'FL', '32819']",2 beds,2 baths,"1,580 sq. ft",Residental,"$395,000"
"['2316', 'Turmeric', 'Avenue', 'Orlando', 'FL', '32837']",3 beds,2 baths,"1,550 sq. ft",Residental,"$365,000"
"['3582', 'Shallot', 'Drive', '102', 'Orlando', 'FL', '32835']",3 beds,2 baths,"1,682 sq. ft",Residental,"$355,000"
"['4624', 'Ivy', 'Conoley', 'Drive', 'Orlando', 'FL', '32812']",4 beds,3 baths,"2,718 sq. ft",Residental,"$607,500"
"['151', 'E', 'Washington', 'Street', '3c', 'Orlando', 'FL', '32801']",2 beds,2 baths,"1,785 sq. ft",Residental,"$499,000"
"['9826', 'Bucklow', 'Hill', 'Drive', 'Orlando', 'FL', '32832']",3 beds,2 baths,"1,769 sq. ft",Residental,"$495,000"
"['12061', 'Sawgrass', 'Reserve', 'Boulevard', 'Orlando', 'FL', '32824']",4 beds,3 baths,"1,957 sq. ft",Residental,"$450,000"
"['13237', 'Mallard', 'Cove', 'Boulevard', 'Orlando', 'FL', '32837']",3 beds,2 baths,"1,259 sq. ft",Residental,"$389,900"
"['4981', 'Waterside', 'Pointe', 'Circle', 'Orlando', 'FL', '32829']",4 beds,2 baths,"1,484 sq. ft",Residental,"$384,900"
"['727', 'Hayden', 'Lane', '727', 'Orlando', 'FL', '32804']",2 beds,1 bath,"1,296 sq. ft",Residental,"$285,000"
"['900', 'S', 'Econlockhatchee', 'Trail', 'Orlando', 'FL', '32825']",NaN,NaN,NaN,Residental,"$275,000"
"['2966', 'S', 'Semoran', 'Boulevard', '#1605', 'Orlando', 'FL', '32822']",2 beds,2 baths,889 sq. ft,Residental,"$185,000"
