Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['1808','S','Bumby','Avenue','Orlando','FL','32806']",3,2,1246,Residential,450000
"['8429','Leeland','Archer','Blvd','Orlando','FL','32836']",4,3,1512,Residential,425000
"['11726','Cuxham','Drive','Orlando','FL','32837']",4,3,1684,Residential,419900
"['1812','Crownwood','Drive','Orlando','FL','32810']",3,2,1509,Residential,384999
"['14060','Wild','Majestic','Street','Orlando','FL','32828']",3,2,1507,Residential,369000
"['12241','John','Wycliffe','Boulevard','Orlando','FL','32832']",2,2,1324,Residential,330000
"['10505','Woodway','Drive','Orlando','FL','32837']",4,2,1683,Residential,300000
"['9823','Dean','Acre','Drive','Orlando','FL','32825']",2,2,1030,Residential,275000
"['2246','Coach','House','Boulevard','505','Orlando','FL','32812']",3,2,1505,Residential,275000
"['2873','S','Osceola','Avenue','8','Orlando','FL','32806']",1,1,632,Residential,159900
"['3908','Hollow','Crossing','Drive','Orlando','FL','32817']",4,3,2368,Residential,489000
"['3428','Soho','Street','Unit','306','Orlando','FL','32835']",2,2,1107,Residential,209900
"['8635','Farthington','Way','Orlando','FL','32827']",4,4,3808,Residential,2450000
"['7826','Thicket','Lane','Orlando','FL','32819']",4,3,2505,Residential,650000
"['4955','Southfork','Ranch','Drive','Orlando','FL','32812']",4,3,2722,Residential,599000
"['291','Isle','Of','Sky','Circle','Orlando','FL','32828']",3,2,2088,Residential,570000
"['3748','Ocita','Drive','Orlando','FL','32837']",3,2,2013,Residential,535000
"['11820','Ginsberg','Place','Orlando','FL','32832']",3,2,2203,Residential,510000
"['11391','Whistling','Pine','Way','Orlando','FL','32832']",4,3,2040,Residential,468000
"['8324','Diamond','Cove','Circle','Orlando','FL','32836']",3,2,2192,Residential,639000
"['7804','Hoosier','Place','Orlando','FL','32807']",3,1,991,Residential,279900
"['4201','E','Michigan','Street','Orlando','FL','32812']",1,1,548,Residential,149900
"['10612','Gawsworth','Point','Orlando','FL','32832']",4,3,2267,Residential,750000
"['5429','Split','Pine','Court','Orlando','FL','32819']",4,2,2259,Residential,730000
"['14197','Deljean','Circle','Orlando','FL','32828']",4,3,2740,Residential,659000
"['14728','Henson','Road','Orlando','FL','32832']",6,3,4005,Residential,625000
"['623','Lakescape','Court','Orlando','FL','32828']",4,3,2592,Residential,575000
"['14436','Mailer','Boulevard','Orlando','FL','32828']",3,2,2247,Residential,550000
"['707','Mayfair','Circle','Orlando','FL','32803']",4,3,2559,Residential,549900
"['9533','Mere','Parkway','Orlando','FL','32832']",3,2,1708,Residential,540000
"['3916','Finch','Street','Orlando','FL','32803']",3,2,1660,Residential,515000
"['919','Gran','Paseo','Drive','Orlando','FL','32825']",4,3,3139,Residential,500000
"['3680','Lower','Union','Road','Orlando','FL','32814']",2,2,1916,Residential,460000
"['7739','Windbreak','Road','Orlando','FL','32819']",2,2,1580,Residential,395000
"['2316','Turmeric','Avenue','Orlando','FL','32837']",3,2,1550,Residential,365000
"['3582','Shallot','Drive','102','Orlando','FL','32835']",3,2,1682,Residential,355000
"['4624','Ivy','Conoley','Drive','Orlando','FL','32812']",4,3,2718,Residential,607500
"['151','E','Washington','Street','3c','Orlando','FL','32801']",2,2,1785,Residential,499000
"['9826','Bucklow','Hill','Drive','Orlando','FL','32832']",3,2,1769,Residential,495000
"['12061','Sawgrass','Reserve','Boulevard','Orlando','FL','32824']",4,3,1957,Residential,450000
"['13237','Mallard','Cove','Boulevard','Orlando','FL','32837']",3,2,1259,Residential,389900
"['4981','Waterside','Pointe','Circle','Orlando','FL','32829']",4,2,1484,Residential,384900
"['727','Hayden','Lane','727','Orlando','FL','32804']",2,1,1296,Residential,285000
"['2966','S','Semoran','Boulevard','#1605','Orlando','FL','32822']",2,2,889,Residential,185000
"['6643','Hidden','Beach','Circle','Orlando','FL','32819']",4,3,2906,Residential,1450000
"['1907','Illinois','Street','Orlando','FL','32803']",5,3,2848,Residential,1200000
"['3330','Timucua','Circle','Orlando','FL','32837']",4,3,2743,Residential,714999
"['4138','Bell','Tower','Court','Belle','Isle','FL','32812']",3,2,2346,Residential,532500
"['13206','St','Cole','Court','Orlando','FL','32828']",5,3,2371,Residential,505000
"['11817','Citruswood','Drive','Orlando','FL','32832']",4,3,1872,Residential,399000
"['2612','Drake','Drive','Orlando','FL','32810']",3,2,2406,Residential,398000
"['4731','Deer','Road','Orlando','FL','32812']",3,2,2098,Residential,379000
"['9720','Winder','Trail','Orlando','FL','32817']",3,2,1054,Residential,345000
"['7337','Radiant','Circle','Orlando','FL','32810']",3,2,1572,Residential,310000
"['2799','Heatherside','Avenue','Orlando','FL','32822']",3,2,1387,Residential,300000
"['440','Delaney','Park','Drive','Orlando','FL','32806']",4,5,3252,Residential,1075000
"['10690','Willow','Ridge','Loop','Orlando','FL','32825']",6,3,2707,Residential,559999
"['10567','Satinwood','Circle','Orlando','FL','32825']",3,2,1626,Residential,449000
"['7617','Canfield','Court','Orlando','FL','32818']",4,2,1731,Residential,310000
"['911','N','Orange','Avenue','Unit','449','Orlando','FL','32801']",2,2,1085,Residential,279000
"['1017','S','Hiawassee','Rd','#3735','Orlando','FL','32835']",1,1,673,Residential,150000
"['19326','Majestic','St','Street','Orlando','FL','32833']",4,2,3202,Residential,660000
"['8640','Tansy','Drive','N','Orlando','FL','32819']",4,3,2940,Residential,599000
"['2227','Bastings','Avenue','Orlando','FL','32833']",4,2,2434,Residential,545000
"['4134','Edgewater','Drive','Orlando','FL','32804']",3,2,2032,Residential,540000
"['11817','Ginsberg','Place','Orlando','FL','32832']",4,3,2470,Residential,530000
"['221','Mc','Jordan','Avenue','Orlando','FL','32801']",3,2,1453,Residential,450000
"['Orlando','FL','32828']",4,2,1862,Residential,420000
"['6070','Wedgewood','Circle','Orlando','FL','32808']",4,2,1525,Residential,360000
"['5270','San','Paulo','Street','Orlando','FL','32807']",3,2,1283,Residential,349999
"['1410','Altaloma','Avenue','Orlando','FL','32803']",2,1,1260,Residential,315000
"['8125','Resort','Village','Drive','51003','Orlando','FL','32821']",2,2,1060,Residential,264000
"['3415','Cherry','Lane','Orlando','FL','32808']",2,2,1158,Residential,255000
"['4431','Baybreeze','Road','Orlando','FL','32808']",4,2,1549,Residential,399000
"['6417','Swallow','Hill','Drive','Orlando','FL','32818']",3,2,1155,Residential,310000
"['4845','Pat','Ann','Terrace','Orlando','FL','32808']",3,2,1745,Residential,265000
"['1059','S','Hiawassee','Road','1824','Orlando','FL','32835']",2,2,836,Residential,249999
"['6734','Meritmoor','Circle','Orlando','FL','32818']",3,2,1067,Residential,245000
"['8101','Resort','Village','Drive','31208','Orlando','FL','32821']",2,2,1060,Residential,218000
"['1017','S','Hiawassee','Road','3733','Orlando','FL','32835']",1,1,673,Residential,169990
"['4326','Lakeway','Drive','E','Orlando','FL','32839']",2,2,976,Residential,125000
"['4342','Lakeway','Drive','A','Orlando','FL','32839']",1,1,642,Residential,82000
"['1916','N','Hastings','Street','Orlando','FL','32808']",3,2,1740,Residential,325000
"['2912','Eastern','Willow','Ave','Orlando','FL','32808']",2,2,1040,Residential,109500
"['14172','Moniz','Avenue','Orlando','FL','32827']",5,4,3314,Residential,1200000
"['620','E','Marks','Street','Orlando','FL','32803']",4,3,2634,Residential,899000
"['2140','Cascades','Cove','Drive','Orlando','FL','32820']",5,3,3210,Residential,598000
"['2579','Bancroft','Boulevard','Orlando','FL','32833']",4,2,2023,Residential,545000
"['520','Tuten','Trail','Orlando','FL','32828']",4,2,2482,Residential,465000
"['4331','Old','Dominion','Road','Orlando','FL','32812']",4,2,2735,Residential,449999
"['1808','Edmundshire','Road','Orlando','FL','32812']",3,2,2285,Residential,425000
"['2479','Citrus','Club','Lane','3303','Orlando','FL','32839']",2,2,1232,Residential,169500
"['13615','Ritta','Island','Drive','Orlando','FL','32827']",5,4,3333,Residential,1100000
"['1015','N','Hampton','Avenue','Orlando','FL','32803']",3,2,1979,Residential,649900
"['13213','Lake','Live','Oak','Drive','Orlando','FL','32828']",5,4,3053,Residential,645000
"['3607','N','Westmoreland','Drive','Orlando','FL','32804']",3,2,2047,Residential,635000
"['10025','Savannah','Bluff','Lane','Orlando','FL','32829']",4,2,1972,Residential,465000
