Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
3,3,1672,1804,Townhouse,429900,7038 Cadiz Blvd,Orlando
3,3,1720,4306,Townhouse,480000,11818 Kipper Dr,Orlando
3,3,1682,934,Townhouse,354999,3522 Shallot Dr #105,Orlando
3,2,1244,10014,Residential - Single Family,415000,3320 Hargill Dr,Orlando
NaN,NaN,13587,NaN,Land,679900,205 E New Hampshire St,Orlando
2,1,1260,5945,Residential - Single Family,395000,919 Mayfair Cir,Orlando
3,2,1316,6894,Residential - Single Family,514900,1638 Mount Vernon St,Orlando
1,1,644,5615,Condominium,150000,320 Lakeview St #107,Orlando
4,3,2139,5618,Residential - Single Family,610000,1602 Page Ave,Orlando
3,2,2005,7615,Residential - Single Family,649000,11859 Gennaro Ln,Orlando
3,2,1253,10163,Condominium,173900,4518 Commander Dr #1922,Orlando
2,1,1296,3137,Condominium,285000,727 Hayden Ln #727,Orlando
1,1,580,11484,Condominium,139900,5501 Rosebriar Way #201,Orlando
2,2,1785,83466,Condominium,499000,151 E Washington St #3C,Orlando
2,3,1230,947,Townhouse,360000,5086 Ernst Ct #35,Orlando
2,2,1392,83466,Condominium,250000,151 E Washington St #504,Orlando
5,4,2848,7003,Residential - Single Family,1200000,1907 Illinois St,Orlando
3,2,1620,11564,Residential - Single Family,499900,730 Briercliff Dr,Orlando
2,2,992,7086,Condominium,95000,2753 L B Mcleod Road 2753 #2753  A,Orlando
2,2,1400,547309,Condominium,239900,4222 Lake Underhill Rd #C,Orlando
3,2,1250,6349,Residential - Single Family,297000,4443 Prince Hall Blvd,Orlando
1,1,739,93940,Condominium,240000,204 E South St #5053,Orlando
4,3,2906,34630,Residential - Single Family,1450000,6643 Hidden Beach Cir,Orlando
1,1,715,10380,Condominium,140000,792 E Michigan St #14,Orlando
2,3,1548,3674,Condominium,260000,6648 Time Square Ave # 102,Orlando
3,1,824,5807,Residential - Single Family,249900,1211 Dewey Ave,Orlando
5,4,4330,9118,Residential - Single Family,839900,14986 Fells Ln,Orlando
