Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['11859', 'GENNARO', 'LANE,', 'Orlando,', 'FL', '32827']",3 BedsBds,2 BathsBa,"2,005 SqftSqft",Residential,"$649,000 USD"
"['151', 'E', 'WASHINGTON', 'STREET,', 'Orlando,', 'FL', '32801']",2 BedsBds,2 BathsBa,"1,785 SqftSqft",Residential,"$499,000 USD"
"['7240', 'WESTPOINTE', 'BOULEVARD,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,423 SqftSqft",Residential,"$240,000 USD"
"['100', 'S', 'EOLA', 'DRIVE,', 'Orlando,', 'FL', '32801']",3 BedsBds,3 BathsBa,"2,475 SqftSqft",Residential,"$750,000 USD"
"['3446', 'SOHO', 'STREET,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,107 SqftSqft",Residential,"$229,900 USD"
"['3442-3462', 'N', 'OLD', 'WINTER', 'GARDEN', 'RD,', 'Orlando,', 'FL', '34734']",NaN,NaN,NaN,Lots And Land,"$1,450,000 USD"
"['3314', 'ROBERT', 'TRENT', 'JONES', 'DRIVE,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,447 SqftSqft",Residential,"$280,000 USD"
"['2810', 'Wagon', 'Wheel', 'Circle,', 'Orlando,', 'FL', '32822']",3 BedsBds,3 BathsBa,"1,464 SqftSqft",Other,"$45,000 USD"
"['3619', 'WINDING', 'LAKE', 'CIRCLE,', 'Orlando,', 'FL', '32835']",4 BedsBds,5 BathsBa,"3,414 SqftSqft",Residential,"$850,000 USD"
"['4508', 'KIRKLAND', 'BOULEVARD,', 'Orlando,', 'FL', '32811']",3 BedsBds,2 BathsBa,"1,220 SqftSqft",Residential,"$230,000 USD"
"['15', 'N', 'HAMPTON,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,"1,882 SqftSqft",Residential,"$680,000 USD"
"['1741', 'BUNKERHILL', 'COURT,', 'Orlando,', 'FL', '32807']",2 BedsBds,2 BathsBa,"1,018 SqftSqft",Residential,"$195,000 USD"
"['4555', 'WATCH', 'HILL', 'ROAD,', 'Orlando,', 'FL', '32808']",3 BedsBds,2 BathsBa,"1,020 SqftSqft",Residential,"$275,000 USD"
"['968', 'BURNS', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,2 BathsBa,"1,822 SqftSqft",Residential,"$475,000 USD"
"['809', 'COLUMBIA', 'STREET,', 'Orlando,', 'FL', '32805']",3 BedsBds,1 BathBa,"1,003 SqftSqft",Residential,"$219,900 USD"
"['621', 'CATHCART', 'AVENUE,', 'Orlando,', 'FL', '32803']",2 BedsBds,2 BathsBa,"1,160 SqftSqft",Residential,"$294,000 USD"
"['105', 'DUDLEY', 'STREET,', 'Orlando,', 'FL', '32805']",2 BedsBds,2 BathsBa,"1,072 SqftSqft",Residential,"$200,000 USD"
"['911', 'YATES', 'STREET,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"1,351 SqftSqft",Residential,"$399,900 USD"
"['2505', 'HOMELAND', 'ST,', 'Orlando,', 'FL', '32806']",3 BedsBds,2 BathsBa,"1,124 SqftSqft",Residential,"$350,000 USD"
"['2819', 'Holster', 'Way,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,980 SqftSqft,Other,"$47,900 USD"
